54,61.728
94,87.845
90,66.805
62,124.834
2,98.106
42,74.808
27,93.773
76,83.419
32,79.267
3,99.172
14,122.659
83,115.257
78,102.426
66,127.136
9,103.596
22,125.562
96,122.709
23,132.75
34,100.124
25,112.149
86,112.954
31,115.634
7,113.909
37,134.179
28,108.729
56,155.068
26,124.133
79,151.188
50,129.184
12,144.303
60,151.193
24,140.445
97,147.355
29,146.686
6,134.485
11,167.71
59,185.702
65,144.777
99,148.093
4,150.716
81,173.439
58,143.478
95,192.573
89,159.926
40,162.583
51,168.488
20,163.984
92,171.78
38,170.399
55,180.448
72,196.465
93,178.591
87,188.107
43,234.99
77,223.679
71,213.784
68,200.434
73,212.456
91,246.252
15,211.5
36,261.237
33,240.436
49,211.631
85,211.971
13,232.545
61,250.735
18,248.134
1,250.621
16,237
84,273.666
30,271.455
44,257.46
80,281.273
21,256.731
53,255.673
5,276.875
75,265.097
88,284.328
52,301.235
