54,45.615,95.829
94,48.448,106.519
90,50.618,89.644
62,57.724,176.996
2,59.422,103.445
42,62.372,85.595
27,65.838,107.469
76,66.383,101.782
32,69.507,93.908
3,75.04,112.432
14,79.202,124.444
83,79.79,118.957
78,80.185,106.731
66,81.764,127.839
9,82.344,113.662
22,83.724,163.941
96,85.131,139.72
23,87.436,143.356
34,89.103,117.346
25,89.315,121.694
86,90.966,144.696
31,93.257,129.106
7,93.607,144.488
37,93.729,143.755
28,93.905,119.523
56,108.12,164.209
26,110.462,135.695
79,110.725,153.495
50,111.664,147.849
12,112.227,150.454
60,114.354,162.837
24,116.142,140.873
97,120.448,161.958
29,121.154,170.657
6,122.007,135.923
11,122.028,173.453
59,123.91,197.333
65,127.397,152.8
99,127.688,162.08
4,131.59,153.073
81,134.056,175.794
58,134.978,148.521
95,140.708,198.3
89,141.019,165.666
40,142.001,167.07
51,142.359,172.084
20,144.515,181.628
92,146.314,178.939
38,146.877,178.893
55,148.975,195.013
72,156.577,200.891
93,157.555,204.108
87,162.566,212.82
43,168.632,241.694
77,172.969,261.368
71,180.039,221.691
68,181.511,234.869
73,186.057,220.661
91,187.658,248.902
15,190.566,228.03
36,195.725,266.155
33,200.128,272.574
49,202.953,232.906
85,203.079,216.971
13,203.488,250.198
61,214.256,259.659
18,215.509,254.814
1,217.45,253.525
16,221.437,252.723
84,228.429,281.62
30,233.194,282.042
44,233.849,263.866
80,235.686,298.262
21,240.746,269.361
53,242.749,289.885
5,245.535,287.517
75,247.567,296.621
88,254.333,285.317
52,282.297,309.587
